DATE,VALUE
2014-04-07,34.110001
2014-04-04,36.009998
2014-04-03,36.66
2014-04-02,36.68
2014-04-01,36.16
2014-03-31,36.459999
2014-03-28,35.77
2014-03-27,35.5
2014-03-26,36.240002
2014-03-25,37.0
2014-03-24,38.0
2014-03-21,38.099998
2014-03-20,38.369999
2014-03-19,39.66
2014-03-18,39.0
2014-03-17,39.0
2014-03-14,36.689999
2014-03-13,38.049999
2014-03-12,37.209999
2014-03-11,38.25
2014-03-10,38.630001
2014-03-07,39.709999
2014-03-06,39.599998
2014-03-05,39.830002
2014-03-04,38.759998
2014-03-03,37.650002
2014-02-28,38.549999
2014-02-27,37.799999
2014-02-26,37.349998
2014-02-25,37.48
2014-02-24,37.23
2014-02-21,37.900002
2014-02-20,37.830002
2014-02-19,38.060001
2014-02-18,38.310001
2014-02-14,38.43
2014-02-13,37.919998
2014-02-12,38.599998
2014-02-11,38.150002
2014-02-10,38.0
2014-02-07,36.650002
2014-02-06,35.650002
2014-02-05,35.599998
2014-02-04,35.110001
2014-02-03,35.939999
2014-01-31,34.689999
2014-01-30,34.889999
2014-01-29,35.77
2014-01-28,36.830002
2014-01-27,37.599998
2014-01-24,38.669998
2014-01-23,39.310001
2014-01-22,39.66
2014-01-21,39.98
2014-01-17,40.119999
2014-01-16,40.43
2014-01-15,41.060001
2014-01-14,40.209999
2014-01-13,41.16
2014-01-10,40.950001
2014-01-09,41.330002
2014-01-08,41.290001
2014-01-07,40.080002
2014-01-06,40.049999
2014-01-03,40.16
2014-01-02,40.369999
2013-12-31,40.169998
2013-12-30,40.459999
2013-12-27,40.720001
2013-12-26,41.0
2013-12-24,40.91
2013-12-23,40.25
2013-12-20,40.389999
2013-12-19,40.040001
2013-12-18,39.529999
2013-12-17,39.990002
2013-12-16,39.970001
2013-12-13,39.610001
2013-12-12,39.02
2013-12-11,39.900002
2013-12-10,38.919998
2013-12-09,39.130001
2013-12-06,39.240002
2013-12-05,38.240002
2013-12-04,36.470001
2013-12-03,36.77
2013-12-02,37.040001
2013-11-29,36.91
2013-11-27,36.700001
2013-11-26,36.32
2013-11-25,36.779999
2013-11-22,36.189999
2013-11-21,36.23
2013-11-20,35.43
2013-11-19,35.029999
2013-11-18,35.650002
2013-11-15,35.799999
2013-11-14,35.07
2013-11-13,33.82
2013-11-12,34.0
2013-11-11,33.57
2013-11-08,32.23
2013-11-07,32.990002
2013-11-06,33.07
2013-11-05,33.029999
2013-11-04,33.200001
2013-11-01,33.150002
2013-10-31,32.43
2013-10-30,33.330002
2013-10-29,33.07
2013-10-28,32.09
2013-10-25,32.310001
2013-10-24,33.16
2013-10-23,33.759998
2013-10-22,34.240002
2013-10-21,33.650002
2013-10-18,33.169998
2013-10-17,32.880001
2013-10-16,33.900002
2013-10-15,34.200001
2013-10-14,33.799999
2013-10-11,33.669998
2013-10-10,33.490002
2013-10-09,33.07
2013-10-08,34.459999
2013-10-07,34.459999
2013-10-04,33.959999
2013-10-03,34.32
2013-10-02,34.150002
2013-10-01,33.360001
2013-09-30,33.040001
2013-09-27,33.330002
2013-09-26,31.65
2013-09-25,31.4
2013-09-24,30.549999
2013-09-23,31.030001
2013-09-20,31.049999
2013-09-19,30.530001
2013-09-18,30.01
2013-09-17,29.639999
2013-09-16,29.639999
2013-09-13,29.469999
2013-09-12,29.719999
2013-09-11,29.379999
2013-09-10,29.43
2013-09-09,28.32
2013-09-06,28.35
2013-09-05,28.1
2013-09-04,27.700001
2013-09-03,27.379999
2013-08-30,27.389999
2013-08-29,27.030001
2013-08-28,26.9
2013-08-27,27.24
2013-08-26,27.99
2013-08-23,28.299999
2013-08-22,27.6
2013-08-21,27.09
2013-08-20,26.92
2013-08-19,27.27
2013-08-16,27.0
2013-08-15,27.83
2013-08-14,28.190001
2013-08-13,28.379999
2013-08-12,27.549999
2013-08-09,27.41
2013-08-08,27.549999
2013-08-07,27.309999
2013-08-06,27.67
2013-08-05,27.709999
2013-08-02,28.07
2013-08-01,28.35
2013-07-31,27.92
2013-07-30,28.09
2013-07-29,27.950001
2013-07-26,28.0
2013-07-25,27.73
2013-07-24,27.540001
2013-07-23,28.030001
2013-07-22,28.08
2013-07-19,29.41
2013-07-18,29.57
2013-07-17,27.66
2013-07-16,27.299999
2013-07-15,27.469999
2013-07-12,27.08
2013-07-11,26.950001
2013-07-10,26.879999
2013-07-09,25.74
2013-07-08,25.719999
2013-07-05,25.85
2013-07-03,24.84
2013-07-02,25.27
2013-07-01,25.26
2013-06-28,25.43
2013-06-27,25.469999
2013-06-26,25.219999
2013-06-25,24.290001
2013-06-24,24.98
2013-06-21,25.290001
2013-06-20,26.030001
2013-06-19,26.6
2013-06-18,26.57
2013-06-17,26.290001
2013-06-14,26.32
2013-06-13,25.790001
2013-06-12,26.5
2013-06-11,26.43
2013-06-10,27.040001
